Duration: 1.33s
         7365546 function calls (7364887 primitive calls) in 1.419 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
      127    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 _regex_core.py:2510(Character)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       23    0.000    0.000    0.000    0.000 _regex_core.py:1635(numeric_to_rational)
        9    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       28    0.000    0.000    0.000    0.000 _regex_core.py:2517(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        6    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      140    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      199    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        4    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
      111    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 vocab.py:2(__init__)
      181    0.000    0.000    0.000    0.000 _parser.py:256(match)
      256    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
     10/7    0.000    0.000    0.000    0.000 _regex_core.py:3455(pack_characters)
      112    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
       14    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      131    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
    33/10    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      113    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       15    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      113    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
     47/4    0.000    0.000    0.000    0.000 _regex_core.py:1928(compile)
     13/8    0.000    0.000    0.000    0.000 _regex_core.py:3443(optimise)
       21    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      4/3    0.000    0.000    0.000    0.000 _regex_core.py:3878(_compile)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
