Duration: 1.33s
         7365546 function calls (7364887 primitive calls) in 1.419 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2885(pack_characters)
        1    0.000    0.000    0.000    0.000 bpe_builder.py:22(_split_corpus)
        1    0.000    0.000    0.000    0.000 _regex_core.py:946(parse_lookaround)
        4    0.000    0.000    0.000    0.000 _regex_core.py:4119(get_while)
        6    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        8    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2877(fix_groups)
        9    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2068(fix_groups)
        5    0.000    0.000    0.000    0.000 _regex_core.py:1937(__eq__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__import__}
        3    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       30    0.000    0.000    0.000    0.000 _regex_core.py:1901(fix_groups)
        4    0.000    0.000    0.000    0.000 _regex_core.py:2540(get_firstset)
       34    0.000    0.000    0.000    0.000 enum.py:251(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:286(LogRecord)
        1    0.000    0.000    0.000    0.000 regex.py:340(finditer)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3749(SetDiff)
       18    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
        1    0.000    0.000    0.000    0.000 weakref.py:289(update)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2584(Conditional)
        4    0.000    0.000    0.000    0.000 {built-in method _locale.getencoding}
       29    0.000    0.000    0.000    0.000 _regex_core.py:2537(optimise)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2940(max_width)
       12    0.000    0.000    0.000    0.000 _regex_core.py:2191(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        4    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        1    0.000    0.000    0.000    0.000 __init__.py:503(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3301(Range)
        1    0.000    0.000    0.000    0.000 string.py:188(Formatter)
       10    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 _regex_core.py:394(make_character)
        1    0.000    0.000    0.000    0.000 __init__.py:1510(setLevel)
        4    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        4    0.000    0.000    0.000    0.000 _regex_core.py:3265(get_firstset)
        1    0.000    0.000    0.000    0.000 __init__.py:806(Filterer)
        4    0.000    0.000    0.000    0.000 _regex_core.py:410(make_property)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1085(parse_flags)
        1    0.000    0.000    0.000    0.000 __init__.py:255(escape)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        4    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        2    0.000    0.000    0.000    0.000 _regex_core.py:3082(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 __init__.py:727(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2989(Group)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3936(String)
        1    0.000    0.000    0.000    0.000 __init__.py:1126(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1202(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1358(__init__)
        5    0.000    0.000    0.000    0.000 _regex_core.py:3691(_handle_case_folding)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        4    0.000    0.000    0.000    0.000 _regex_core.py:2064(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       17    0.000    0.000    0.000    0.000 _regex_core.py:3262(optimise)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4039(Source)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3838(SetUnion)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
       11    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1776(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3120(_compile)
        4    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:443(__init__)
        3    0.000    0.000    0.000    0.000 _regex_core.py:4326(_check_group_features)
        3    0.000    0.000    0.000    0.000 _parser.py:295(seek)
        4    0.000    0.000    0.000    0.000 _regex_core.py:3236(_compile)
        5    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 __init__.py:1311(PlaceHolder)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3775(SetInter)
        1    0.000    0.000    0.000    0.000 {method 'finditer' of '_regex.Pattern' objects}
        3    0.000    0.000    0.000    0.000 _regex_core.py:4239(at_end)
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2452(max_width)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2107(_add_precheck)
        1    0.000    0.000    0.000    0.000 __init__.py:1867(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3805(SetSymDiff)
       11    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3091(optimise)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        2    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1702(addHandler)
        4    0.000    0.000    0.000    0.000 _regex_core.py:2573(max_width)
        1    0.000    0.000    0.000    0.000 enum.py:986(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 __init__.py:769(Filter)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2455(CallGroup)
        1    0.000    0.000    0.000    0.000 enum.py:816(__iter__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1976(Any)
        3    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        1    0.000    0.000    0.000    0.000 vocab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1861(RootLogger)
        5    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        2    0.000    0.000    0.000    0.000 _regex_core.py:4235(expect)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 _regex_core.py:4261(Info)
       10    0.000    0.000    0.000    0.000 _regex_core.py:1907(pack_characters)
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:1943(get_required_string)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1947(ZeroWidthBase)
        1    0.000    0.000    0.000    0.000 _regex_core.py:30(error)
        4    0.000    0.000    0.000    0.000 _regex_core.py:3746(__del__)
        8    0.000    0.000    0.000    0.000 _regex_core.py:1931(is_empty)
        1    0.000    0.000    0.000    0.000 traceback.py:656(_ExceptionPrintContext)
        4    0.000    0.000    0.000    0.000 _regex_core.py:3233(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:1292(value)
        3    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.000    0.000 _regex_core.py:2848(Grapheme)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
        1    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2673(DefaultBoundary)
        1    0.000    0.000    0.000    0.000 __init__.py:1373(disable)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        5    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:2959(PossessiveRepeat)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 enum.py:828(__members__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1995(AnyAll)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3721(max_width)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4386(Scanner)
        1    0.000    0.000    0.000    0.000 traceback.py:90(_Sentinel)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1276(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3088(fix_groups)
        3    0.000    0.000    0.000    0.000 regex.py:642(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method regex._regex.get_code_size}
        1    0.000    0.000    0.000    0.000 __init__.py:1369(disable)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3663(get_firstset)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1999(AnyU)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3098(pack_characters)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3519(has_simple_start)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3232(PrecompiledCode)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'set' objects}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2863(GraphemeBoundary)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:2689(EndOfLineU)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2701(EndOfStringLineU)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2935(__eq__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3629(get_required_string)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2677(DefaultEndOfWord)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3071(Keep)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3295(Prune)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3916(Skip)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2501(CallRef)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2709(Failure)
        1    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3427(SearchAnchor)
        1    0.000    0.000    0.000    0.000 __init__.py:1033(setFormatter)
        1    0.000    0.000    0.000    0.000 _regex_core.py:61(_UnscopedFlagSet)
        1    0.000    0.000    0.000    0.000 {built-in method regex._regex.get_properties}
        1    0.000    0.000    0.000    0.000 _regex_core.py:2059(Boundary)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2681(DefaultStartOfWord)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2693(EndOfString)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2697(EndOfStringLine)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2705(EndOfWord)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3075(LazyRepeat)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3928(StartOfString)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3991(Literal)
        1    0.000    0.000    0.000    0.000 _regex_core.py:262(Namespace)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3920(StartOfLine)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3932(StartOfWord)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2685(EndOfLine)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3924(StartOfLineU)
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        2    0.000    0.000    0.000    0.000 _regex_core.py:1916(can_be_affix)
        1    0.000    0.000    0.000    0.000 _regex_core.py:65(ParseError)
        1    0.000    0.000    0.000    0.000 _regex_core.py:69(_FirstSetError)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3988(get_required_string)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1925(has_simple_start)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3144(max_width)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3968(has_simple_start)


